Sample Name,Description of Site Location,Sample Type,Zone,Easting,Northing,Elevation,Soil Horizon,Soil as Described in Field,Geology Observed in Field ,Geology Description From Field ,Geology Symbol from Map, Geology Name From Map,Lithology from Map,Gross Lithology,Age From Map,Sample Code,Site Code,87Sr/86Sr,± 87Sr/86Sr,84Sr/86Sr,± 84Sr/86Sr,85Rb/86Sr,± 85Rb/86Sr,,Bioavailable Sr concentration (ppm),Grain size,Sphericity,Roundness,Sorting,Munsell value,Munsell colour,pH,moisture,notes,,,,,
112,Off Highway 805 on way to Ya'aa,Rock,36S,710374,3639794,272,N/A,N/A,Chalky Limestone,Very thinly laminated chalky limestone with no obvious fossils,sp,Mount Scopus Group,"Chalk, marl",Carbonate,Senonian-Paleocene,RS013,IS016,0.708029,0.00001,0.056477,0.000003,0.014526,0.000004,,31.7843169,,,,,10R 8/1,white,,,,,,,,
113,"East of Deir Hana on road 805, next to Muslim shrine in olive grove",Rock,36S,723533,3637663,169,N/A,N/A,Chalky White Limestone,Chalky smaple with confused bedding and some large clasts within it.,lc,"Nabi Sa'id, Ein el Assad, Hidra, Rama and Kefira Fms.","Limestone, chalk, marl, sandstone",Carbonate,Lower Cretaceous,RS014,IS017,0.708532,0.000008,0.056488,0.000003,0.001127,0.000005,,5.529350415,,,,,,,,,,,,,,
114,On road 7955 just west of turnoff to Yodfat,Rock,36S,712855,3636020,421,N/A,N/A,Chalky Limestone,Chalky limestone with no obvious fossils or sedimentary structures with blocky bedding dipping 4º-308º,c3,Sakhnin and Yanuh Formation,"Dolostone, limestone, chert",Carbonate,Cenomanian,RS015,IS018,0.708182,0.000009,0.056489,0.000004,0.006014,0.000003,,1.432303991,,,,,,,,,,,,,,
115,On road 672 South of Carmel in firing range,Rock,36S,692598,3615897,308,N/A,N/A,Limestone,"Blocky bedded, very fine grained limestone dipping 12º-214º with no obvious fossils and some small scale dissolution",t,Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,RS016,IS019,0.708989,0.000031,0.056554,0.00002,0.026429,0.00002,,0.572763616,,,,,,,,,,,,,,
116,On Highway 70 to the west of the Elyakim Interchange,Rock,36S,690737,3609663,110,N/A,N/A,Chalky Limestone,Chalky thinnly bedded dipping 6º-212º limestone with no fossils or evidence of dissolution,ea,Adulam Formation,"Chalk, chert",Carbonate,Lower-Middle Eocene,RS017,IS020,0.708,0.000007,0.0565,0.000002,0.005311,0.000003,,14.0815869,,,,,,,,,,,,,,
117,Off road 721 in Carmel Range near the Spa Resort,Rock,36S,688498,3621292,336,N/A,N/A,Limestone,Very chalky white limestone with some almost indistinct fine (algal?) laminations dipping 8º-194º,c2,"Deir Hanna Fm., Isfiya Chalk, Bet Oren Limestone, Khureibe Chalk and Junediya Chalk","Limestone, dolostone, marl, chalk, chert",Carbonate,Cenomanian,RS018,IS021,0.708315,0.00001,0.056486,0.000004,-0.009241,0.000016,,1.051360089,,,,,,,,,,,,,,
118,On Highway 672 next to Haifa University,Rock,36S,689525,3626157,445,N/A,N/A,Chalky Limestone,White Chalky limestone with some clasts and some thin laminations which appears to have been deformed and dips are scattered,c2,"Deir Hanna Fm., Isfiya Chalk, Bet Oren Limestone, Khureibe Chalk and Junediya Chalk","Limestone, dolostone, marl, chalk, chert",Carbonate,Cenomanian,RS019,IS022,0.707838,0.000009,0.0565,0.000004,0.017933,0.000003,,3.075086325,,,,,,,,,,,,,,
119,Off highway 768 just North of Alumot junction,Rock,36S,738739,3623292,72,N/A,N/A,Basalt,"Fine grained basalt with some jointing present.  Not vesicular, but some nearby samples are.",Bc,Cover Basalt and Dalwe Basalt,"Basalt, basanite/flows, intrusions and volcaniclastics",Basalt,Pliocene-Pleistocene,RS021,IS024,0.706807,0.000007,0.056488,0.000002,0.005353,0.000002,,159.135437,,,,,,,,,,,,,,
120,North of Nazareth on 754 near village of Kafr Kara,Rock,36S,718214,3624458,305,N/A,N/A,Limestone Breccia,"Brecciated matrix supported limestone with clastus up to very coarse sand size.  No obvious bedding, sedimentary structures or fossils.",sp,Mount Scopus Group,"Chalk, marl",Carbonate,Senonian-Paleocene,RS021,IS027,0.707963,0.000016,0.056487,0.000007,0.000504,0.00001,,11.24095917,,,,,,,,,,,,,,
121,On Highway 1 near village of Shar Hugay,Rock,36R,694759,3520900,487,N/A,N/A,Limestone,"Limestone with no bedding, sedimentary structures or fossils evident.  Appears to contain large fragment (breccia?) in some places.",c1,"Givat Ye'arim, Soreq and Kesalon Fms., Hevyon Fm.","Limestone, dolostone, marl, chalk, chert",Carbonate,Albian-Cenomanian,RS022,IS028,0.708417,0.000008,0.056489,0.000003,0.002047,0.000002,,3.507086262,,,,,,,,,,,,,,
122,At turnoff of Road 6666 from 667 in Gilb'oa Mountains,Rock,36S,726755,3596839,313,N/A,N/A,Limestone,Limestone with no obvious bedding or fossils.  Some large dissolution features present.,et,"Timrat Fm., Meroz and Yizre'el Fms.","Limestone, chalk, chert",Carbonate,Lower-Middle Eocene,RS023,IS026,0.708106,0.000008,0.056481,0.000003,0.001818,0.000002,,4.396812245,,,,,,,,,,,,,,
123,Near Bed and Breakfast on Sheshet Hayamin Street in Jerasulem in excavations for light rail,Rock,36R,711495,3520928,797,N/A,N/A,Chalk,"Sample taken 10cm below sediment/rock interface.  No bedding, fossils or sedimentary structures observed.",sc,Menuha Formation,"Chalk, cert",Carbonate,Coniacian-Campanian,RS024,IS032,0.708617,0.000009,0.056499,0.000003,0.00322,0.000005,,3.341559693,,,,,,,,,,,,,,
124,On Highway 35 in road cutting just east of Ashkelon,Rock,36R,656001,3503878,74,N/A,N/A,Poorly Consolidated Beach Ridge,"Interbedded, poorly consolidated, calcareous sand and clay ",qk,"Calcareous Sandstone ""kurkar""","Clay, silt, sand",Kurkar,Quaternary,RS025,IS034,0.70846,0.000006,0.056489,0.000002,-0.000146,0.000003,,30.90393543,,,,,,,,,,,,,,
126,On Highway 40 to the North of Sde Boker,Rock,36R,670360,3419638,522,N/A,N/A,Chalky Limestone,Bedded Chalky limestone dipping 6º-152º with no sedimentary structures or fossils,t,"Bina Fm., Derorim, Shivta and Nezer Fms., Ora and Gerofit Fms., Shuay;b and Wadi as Sir Fms.","Limestone, dolostone, marl, conglomerate, sandstone",Carbonate,Turonian,RS027,IS037,0.707696,0.000009,0.056488,0.000003,0.006735,0.000005,,4.234025255,,,,,,,,,,,,,,
127,At Har Kharif border post on Road 171,Rock,36R,650790,3375244,951,N/A,N/A,Limestone,"Fossiliferous limestone, bedding difficult to resolve with no sedimentary structures observed.",con,Zihor Formation,"Limestone, dolostone, marl",Carbonate,Coniacian,RS028,IS038,0.707777,0.000008,0.056484,0.000003,0.000396,0.000005,,2.294304222,,,,,,,,,,,,,,
128,North of Mitze Ramon on Highway 40,Rock,36R,671031,3396724,756,N/A,N/A,Limestone,"Limestone with confused bedding, no fossils and no sedimentary structures.",enm,"Nizzana, Horsha and Matred Formations","Chalk, limestone, chert",Carbonate,Lower-Middle Eocene,RS029,IS039,0.707963,0.000008,0.056516,0.000003,0.001792,0.000002,,3.354174271,,,,,,,,,,,,,,
129,In floor of Mitze Ramon Crator on Highway 40,Rock,36R,678358,3388028,486,N/A,N/A,Basalt?,Very hard (almost obsidian) basic crystalite layers interbedded with sandstone and shale which have been metamorphosed.,jl2,Inmar Formation,"Sandstone, clay",Basalt,Lower Jurassic,RS030,IS040,0.707575,0.000008,0.056492,0.000003,0.001621,0.000011,,3.152460977,,,,,,,,,,,,,,
131,On Highway 40 just south of Tsikhor junction,Rock,36R,693961,3345350,286,N/A,N/A,Chalky Limestone,"Chalky limestone with massive bedding, some fine laminations and no obvious fossils",eav,Avedat Group,"Chalk, limestone, marl",Carbonate,Lower-Middle Eocene,RS032,IS041,0.707879,0.000006,0.056489,0.000002,0.003153,0.000003,,26.96616948,,,,,,,,,,,,,,
132,On Highway 40 just south of Tsikhor junction,Rock,36R,693961,3345350,286,N/A,N/A,Silcrete,Layer of silcrete sits on top of and is occasionally interbedded with chalky limestone dipping 10º-316º,eav,Avedat Group,"Chalk, limestone, marl",Carbonate,Lower-Middle Eocene,RS033,IS041,0.707988,0.000009,0.056513,0.000003,0.033284,0.000043,,21.21881396,,,,,,,,,,,,,,
134,On side road to Timna Park off Highway 90,Rock,36R,692862,3296795,179,N/A,N/A,Granite/Granodiorite,"Joints 58º-322º, 68º-050º, 60º-232º, 84º-336º",?t,"Timna Granite, Shahmon Granite, Yehoshafat Granite, Amram Granite Porphyry","Sandstone, pebbly sandstone, conglomerate, mudstone, dolostone, limestone",Granite,Precambrian,RS035,IS044,0.740718,0.000014,0.056496,0.000006,0.038284,0.000017,,5.26548028,,,,,,,,,,,,,,
135,Down canyon to the south of Highway 12 to the W of Eilat,Rock,36R,683919,3271361,294,N/A,N/A,Granite ,"Sample is far coarser grained and felsic than IS044, Joints 56º-083º, 64º-254º, 59º-280º",?,"Elate Granite, Roded Granite Porphyry, Timna Granite Porphyry","Sandstone, pebbly sandstone, conglomerate, mudstone dolostone, limestone",Granite,Precambrian,RS036,IS045,0.711296,0.000007,0.056491,0.000003,0.004989,0.000003,,5.947589502,,,,,,,,,,,,,,
136,In Red Canyon National Park off Highway 12 North of Netafim,Rock,36R,681467,3284927,666,No Soil,No Soil,Consolidated Quaternary Sediment,Alternating sand and conglomerate layers with flat lying igneous and sedimentary clasts,nqc,"Conglomerate units, undifferentiated","Conglomerate units, undifferentiated",Siliciclastic,Neogene-Quaternary,RS037,IS046,0.709553,0.000015,0.05675,0.000007,0.007335,0.000015,,35.24055183,fine to coarse sand,0.7,0.7,moderate,7.5YR 7/8,reddish yellow,8.5,,,,,,,
137,Next to highway 12 at upper carpark for Red Canyon,Rock,36R,681161,3283499,739,N/A,N/A,Basalt?,Very basic igneous rock with no visible crystals.  Has multiple joints but impossible to measure in poor outcrop.,?,Rhyolitic quartz porpyry,Rhyolitic quartz porpyry,Rhyolite,Precambrian,RS038,IS047,0.714749,0.000013,0.056505,0.000005,0.013973,0.000006,,19.3716526,,,,,,,,,,,,,,
138,On Highway 12 just south of Uvda Airforce Base,Rock,36R,680655,3310200,523,N/A,N/A,Chalky Marl,Bedded chalky marl with some layers of silcrete and some breccia layers dipping 4º-72º,ca,"Mishash Fm., Anman Silic Lst and Al Hisa Phosforite Formations","Chert, chalk, phosphorite, porcelanite, marl, limestone, dolostone",Carbonate,Campanian,RS039,IS048,0.708083,0.000014,0.056529,0.000006,0.005887,0.000006,,6.835985184,,,,,,,,,,,,,,
139,On Highway 90 South of Tsukim,Rock,36R,707921,3372094,41,N/A,N/A,Chalky Limestone,Blocky bedding dipping 12º-18º.  No fossils or sedimentary structures,eav,Avedat Group,"Chalk, limestone, marl",Carbonate,Lower-Middle Eocene,RS040,IS049,0.70784,0.000007,0.05648,0.000003,0.002819,0.000002,,11.14457473,,,,,,,,,,,,,,
140,On Highway 90 just North of turnoff to Khatseva,Rock,36R,714369,3407776,136,N/A,N/A,Semi-consolidated Aeolian Sand,"Semi-consolidated fine-medium grained sand with distinctive red colour.  Some steeply dipping, semi-parallel laminations and vertical traces with bifurcating entrances.",m,"Hazeva Fm., Dana Conglomerate","Sandstone, mudstone, conglomerate, limestone and marl",Siliciclastic,Miocene,RS041,IS050,0.708615,0.000008,0.056485,0.000003,0.001988,0.000004,,6.23601824,fine to medium grained sand,0.7,0.7,,5YR 7/6,reddish yellow,,,,,,,,
141,Inside Ha-Makhtesh Ha-Gadol off Road 225,Rock,36R,689994,3426541,385,N/A,N/A,Basalt/Volcanic Glass,Thin layer in sedimentary package dipping 6º-270º.  No obvious crystals present.  Some kind of cooling? structure on surface,lck,Kurnub Group,"Sandstone, pebbly sandstone, marl, mudstone, clay, limestone, dolostone, conglomerete",Carbonate,Lower Cretaceous,RS042,IS051,0.708662,0.000007,0.056488,0.000003,0.003774,0.000002,,12.71713376,,,,,,,,,,,,,,
142,"On road 31, east of Khatrurim Junction",Rock,36R,716126,3453916,260,N/A,N/A,Evaporite/Limestone,"Coarsely bedded limestone with extensive evaporite precipitate present between the beds.  May have been deposited by microbial processes, beds are deformed suggesting salt tectonics.",mz,"Hatrurim Formation ""Mottled Zone""",Metamorphosed Maastrichtian to Miocene rocks,Carbonate,Maastrichtian- Miocene,RS043,IS052,0.708045,0.000007,0.056485,0.000003,0.001102,0.000008,,104.330492,,,,,,,,,,,,,,
143,"Off Highway 90, on side road 717 to Kokhav ho-Yarden",Rock,36S,737222,3610147,20,N/A,N/A,Basalt,"Basalt blocks, not insitu, but doesn't appear to have moved far.  Some blocks are vesicular.",Bc,Cover Basalt and Dalwe Basalt,"Basalt, basanite/flows, intrusions and volcaniclastics",Basalt,Pliocene-Pleistocene,RS044,IS053,0.706096,0.00001,0.056503,0.000004,0.004321,0.000006,,48.14207256,,,,,,,,,,,,,,
144,On turnoff ramp to the Ha-Galil Takhton Industries park from Highway 77,Rock,36S,731529,3630730,185,N/A,N/A,Basalt,"Blocky basalt, not vesicular",Bc,Cover Basalt and Dalwe Basalt,"Basalt, basanite/flows, intrusions and volcaniclastics",Basalt,Pliocene-Pleistocene,RS045,IS054,0.705853,0.000006,0.056489,0.000002,-0.002581,0.000006,,16.99320674,,,,,,,,,,,,,,
147,Off road 98 to the east from the El-Rom Junction,Rock,36S,759511,3674122,65,N/A,N/A,Basalt,Weathered vesicular basalt,Bqg,Golan Basalt Raqqad Basalt,"Basalt, basanite/flows",Basalt,Quaternary,RS047,IS056,0.705291,0.000006,0.056507,0.000002,0.001017,0.000001,,114.1768813,,,,,,,,,,,,,,
148,"Sefunim Cave, up a wadi to the north of Msylia",Rock,36S,685379,3623856,116,N/A,N/A,Limestone,No Notes,t,Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,RS049,IS060,0.708608,0.00001,0.05649,0.000004,0.00071,0.000019,,0.956571382,,,,,,,,,,,,,,
149,Off Highway 89 to the south of Tsefat,Rock,36S,734413,3647972,598,N/A,N/A,Limestone,"Blocky limestone without obvious bedding, fossil or sedimentary structures",et,"Timrat Fm., Meroz and Yizre'el Fms.","Limestone, chalk, chert",Carbonate,Lower-Middle Eocene,RS050,IS061,0.707868,0.000008,0.056489,0.000003,0.004806,0.000004,,8.097309619,,,,,,,,,,,,,,
151,"On highway from Haifa-Tel Aviv under railway bridge @ ""railway"" archaeological site",Soil,36S,682494,3621957,5,No zonation,"Very thin, poorly developed soil on lithified sand dune with a maximum thickness of 5cm",Calcareous Sandstone,"Lithified beach ridge with steeply dipping, parrallel reflectors (12-163º).  Well cemented, fine grained, medium-poorly sorted sand",qk,"Calcareous Sandstone ""kurkar""","Clay, silt, sand",Kurkar,Quaternary,SS002,IS001,0.709344,0.000129,0.056463,0.000004,-0.001452,0.000213,,26.1502743,medium,0.7,0.7,medium sorting,10YR 5/6,yellowish brown,,"not measured, very low",,,,,,
152,Unconsolidated coastal dune between highway 2 and the beach near Hadera,Soil,36S,675689,3585175,0,Unconsolidated sand,No soil formation evident,No Bedrock,N/A,qs,Sand dunes,"Gravel, sand, silt",No Bedrock,Quaternary,SS003,IS002,0.709524,0.000118,0.056455,0.000004,-0.023021,0.000596,,10.046348,fine-medium,0.7,0.7,well sorted,7.5YR 8/4,pink,,,unconsolidated qtz with some feldspar and rutile,,,,,
153,"On edge of olive grove, off Highway 4 near Bet Hanayan, near foot of Carmel Range",Soil,36S,680980,3601307,5,A?,Sample from 5cm below surface in material with abundant clay pellets and carbonate nodules,No Bedrock,N/A,qk,"Calcareous Sandstone ""kurkar""","Clay, silt, sand",Kurkar,Quaternary,SS004,IS003,0.708952,0.000012,0.056498,0.000004,0.00241,0.000018,,3.3917252,very fine to find sand with extensive silt clay (50%),0.5,0.5,moderately sorted,5YR 3/3,dark reddish brown,8.5,0,,,,,,
154,Adjacent to Highway 2 in new construction near Kebara Cave,Soil,36S,681536,3604285,7,A ,"Dark, organic rich, friable soil with some carbonate nodules",Sandstone with Carbonate Matrix,"Taken 1.5m from surface.  Thinly bedded, horizontal laminations friable sandstone with carbonate matrix.  Coarse grains with moderate sorting.  May be feldspar grains",c3,Sakhnin and Yanuh Formation,"Dolostone, limestone, chert",Carbonate,Cenomanian,SS005,IS004,0.708505,0.000114,0.056478,0.000003,-0.00003,0.000213,,3.5462234,30% fine sand 70% clay often in hard pieces ,0.7,0.7,moderate-high,7.5YR 3/2,dark brown,8.5,dry,,,,,,
155,Adjacent to Highway 2 in new construction near Kebara Cave,Soil,36S,681536,3604285,7,B,"More consolidated, less organic soil with large limestone blocks",Sandstone with Carbonate Matrix,"Taken 1.5m from surface.  Thinly bedded, horizontal laminations friable sandstone with carbonate matrix.  Coarse grains with moderate sorting.  May be feldspar grains",c3,Sakhnin and Yanuh Formation,"Dolostone, limestone, chert",Carbonate,Cenomanian,SS006,IS004,0.708593,0.000023,0.056456,0.000004,-0.00148,0.00007,,3.1328052,50% fine sand with clay in hard pieces,0.7,0.9,moderate,7.5YR 3/4,dark brown,8,dry,,,,,,
156,Msylia Cave on Carmel Range east of Highway 4 Sth of Haifa,Soil,36S,684801,3623556,93,Cave Sediment,Thin veneer of sediment overlaying cave sediment located near excavation,Reefal Limestone,"Whitish pink limestone with blocky horizontal bedding with some fluting, vuggy dissolution and patterned surface",t,Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,SS007,IS005,0.708958,0.000008,0.05642,0.000003,0.005018,0.00001,,1.2081359,"10% fine sand, 90% silt/clay",0.5,0.3,medium in sand fraction,7.5YR 4/4,brown,9,"no reading, dry",,,,,,
157,"Cave of Nahal Oren, off Highway 4 Sth of Haifa.  Material collected about 5m into cave on E edge",Soil,36S,685092,3621362,52,Cave Sediment,Very fine grained powdery cave sediment with abundant goat facaes,Reefal Limestone,"Collected from large block on cave floor, approximately 1m from E edge.  Abundant fossil material.",t,Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,SS008,IS006,0.709149,0.000112,0.056439,0.000009,0.01014,0.000271,,2.0014914,clay/silt,N/A,N/A,very well sorted,7.5YR 4/3,brown,8.5,dry,,,,,,
158,"Off Highway 652, South of Neve Sharel",Soil,36S,683780,3603356,66,No zonation,Thin soil developed on top of a limestone with many rock fragments,Limestone,"Sample taken 30cm from the base of section.  Clean limestone, no fossils or sedimentary structures observed","t, adjacent to Buc",Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,SS009,IS007,0.709282,0.000017,0.056502,0.000005,0.003691,0.000028,,3.9785579,"carbonate fragments 30%, clay",0.5,0.7,poor,5YR 4/4,reddish brown,9,none measured,,,,,,
159,On track into forest North of Bat Shlomo,Soil,36S,687978,3609221,101,A?,Some chalk fragments with pelletal clays dominating,Chalk,"Very fine grained chalk with blocky bedding in unit, dipping 12º-238º",ea,Adulam Formation,"Chalk, chert",Carbonate,Lower-Middle Eocene,SS010,IS008,0.708393,0.000087,0.056469,0.000006,-0.003473,0.000174,,7.2370328,coarse chalk,0.7,0.3,poor,5YR 4/4,reddish brown,8,not recorded,,,,,,
160,North of Akko near turnoff to Regba and Nes Ammin (8611),Soil,36S,695586,3650202,9,A?,Very thin soil with many rock fragments,"Calcareous Sandstone ""Kurkar""",Lithified calcareous beach ridge.  Coarse grained and well sorted.,qk,"Calcareous Sandstone ""kurkar""","Clay, silt, sand",Kurkar,Quaternary,SS010*,IS009,0.709344,0.000012,0.05654,0.000005,0.005962,0.000012,,,50% fine sand and silt/clay,0.5,0.5,moderate,7YR 5/4,brown,8.5,none measured,,,,,,
161,In small park on Lebanese border,Soil,36S,705301,3661995,397,A,Thin Terra Rossa soil with abundant limestone fragments,Limestone,Limestone with no bedding structures or fossils present.  Almost chalky with some dissolution in layer above.,t,Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,SS011,IS010,0.70844,0.000077,0.05645,0.000004,-0.001943,0.000119,,4.6293776,"10% limestone/qtz fragments, 90% clay",0.5,0.3,well sorted,2.5YR 3/6,dark red,8.5,none measured,,,,,,
162,On Highway 899 at turnoff to Shomeral/Zarit,Soil,36S,712541,3662131,555,A,Thin soil developed on top of limestone.  Soil sample taken next to orchard and fence.  May be disturbed and have fertilizer.,Very Fine Grained Limestone,"Very fine, almost chalky, limestone with poorly expressed horizontal bedding and no fossils evident",sp,Mount Scopus Group,"Chalk, marl",Carbonate,Senonian-Paleocene,SS012,IS011,0.710199,0.000034,0.056475,0.000018,0.056293,0.000029,,,"30% fine sand, rest is clay in pellets",0.5,0.5,moderate,5YR 6/3,light reddish brown,8.5,dry,,,,,,
163,On Road 8994 just south of turnoff from road 899 at Har Biranit,Soil,36S,719243,3659214,674,A,"Thin reddish mantle on limestone, very thin poorly developed soil with some limestone fragments",Limestone,Very chalky limestone with little dissolution and blocky bedding dipping 8º-280º,c2,"Deir Hanna Fm., Isfiya Chalk, Bet Oren Limestone, Khureibe Chalk and Junediya Chalk","Limestone, dolostone, marl, chalk, chert",Carbonate,Cenomanian,SS013,IS012,0.708365,0.000133,0.056457,0.000005,0.008217,0.000262,,2.6659854,"90% clay, 10% qtz and limestone fragments",0.7,0.7,well sorted,5YR 3/4,dark reddish brown,9,dry,,,,,,
164,On North side of road near a quarry on the way to Beit Jan,Soil,36S,721813,3649514,935,A,Thinly developed soil on limestone.  Sampled near garden and recent earthworks.,Chalky Limestone,Thinly bedded chalky limestone with no fossils or sedimentary structures.  Bedding 12º-91º,c2,"Deir Hanna Fm., Isfiya Chalk, Bet Oren Limestone, Khureibe Chalk and Junediya Chalk","Limestone, dolostone, marl, chalk, chert",Carbonate,Cenomanian,SS014,IS013,0.709212,0.000011,0.056493,0.000005,0.004316,0.000014,,2.4182856,"50% clay, 20% organics, 30% limestone fragments",N/A,N/A,moderate,5YR 4/4,reddish brown,9,none,,,,,,
165,In paddock to the east of Highway 70 heading north from Haifa,Soil,36S,696501,3627390,9,A,"Nearly all cracking clay, recently ploughed agricultural land.  Almost certainly has had fertilizer applied.",No Bedrock,N/A,q,Alluvium,"Gravel, sand, clay",No Bedrock,Quaternary,SS015,IS014,0.708586,0.000011,0.056501,0.000004,0.002036,0.000015,,8.9605808,"90% clay/silt, 10% limestone fragments",N/A,N/A,well sorted,7.5YR 4/2,brown,9,none measured,,,,,,
