Sample Name,Notes,Description of Site Location,Sample Type,Archaeological Site,Position in Excavation,Zone,Easting,Northing,Elevation,Soil Horizon,Soil as Described in Field,Geology Observed in Field ,Geology Description From Field ,Geology Symbol from Map, Geology Name From Map,Lithology from Map,Age From Map,Sample Code,Site Code,87Sr/86Sr,± 87Sr/86Sr,84Sr/86Sr,± 84Sr/86Sr,85Rb/86Sr,± 85Rb/86Sr,,Bioavailable Sr concentration (ppm),Grain size,Sphericity,Roundness,Grain sorting,Munsell value,Munsell colour,pH,moisture,,,,,,,,,,,
R_554,Bos Tabun D,Archaeological Site of Tabun,Sediment,Tabun,Layer D,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_554,Tabun,0.708468,0.00001,0.056528,0.000004,0.011101,0.000004,,54.1340299,,,,,,,,,,,,,,,,,,,
R_555,Bos Tabun D,Archaeological Site of Tabun,Sediment,Tabun, Layer D,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_555,Tabun,0.708466,0.000013,0.056519,0.000005,0.024744,0.000006,,48.00746217,,,,,,,,,,,,,,,,,,,
R_556,Bos Tabun D,Archaeological Site of Tabun,Sediment,Tabun, Layer D,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_556,Tabun,0.70849,0.000011,0.056532,0.000004,0.015288,0.000004,,3.176162392,,,,,,,,,,,,,,,,,,,
R_557,Bos Tabun Ea,Archaeological Site of Tabun,Sediment,Tabun, Layer Ea,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_557,Tabun,0.708417,0.000009,0.056512,0.000004,0.003724,0.000003,,41.12581909,,,,,,,,,,,,,,,,,,,
R_558,Bos Tabun Ea,Archaeological Site of Tabun,Sediment,Tabun,Layer Ea,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_558,Tabun,0.708931,0.000011,0.05655,0.000004,0.025358,0.000006,,2.692849003,,,,,,,,,,,,,,,,,,,
R_559,Bos Tabun Ea,Archaeological Site of Tabun,Sediment,Tabun,Layer Ea,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_559,Tabun,0.708385,0.000012,0.056517,0.000005,0.003473,0.000006,,91.16718918,,,,,,,,,,,,,,,,,,,
R_562,Bos Tabun Eb,Archaeological Site of Tabun,Sediment,Tabun,Layer Eb,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_562,Tabun,0.708597,0.000014,0.056529,0.000006,0.00821,0.000007,,109.4698608,,,,,,,,,,,,,,,,,,,
R_564,Bos Tabun T Ec,Archaeological Site of Tabun,Sediment,Tabun,Layer Ec,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_564,Tabun,0.708331,0.000009,0.056509,0.000003,0.008179,0.000005,,26.35140717,,,,,,,,,,,,,,,,,,,
R_565,Bos Tabun T Ec,Archaeological Site of Tabun,Sediment,Tabun,Layer Ec,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_565,Tabun,0.708371,0.000015,0.056551,0.000007,0.036463,0.000008,,8.349590749,,,,,,,,,,,,,,,,,,,
R_567,Bos Tabun T Ed,Archaeological Site of Tabun,Sediment,Tabun,Layer Ed,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_567,Tabun,0.708484,0.000011,0.056523,0.000004,0.002745,0.000005,,9.716262668,,,,,,,,,,,,,,,,,,,
150,,"On highway from Haifa-Tel Aviv under railway bridge at ""railway"" archaeological site",Soil,"""Railway""?",Cave Sediment,36S,682494,3621957,5,Cave Sediment,Horizontally bedded sediment infilling cave.,Calcareous Sandstone,"Lithified beach ridge with steeply dipping, parrallel reflectors (12-163º).  Well cemented, fine grained, medium-poorly sorted sand",qk,"Calcareous Sandstone ""kurkar""","Clay, silt, sand",Quaternary,SS001,IS001,0.709521,0.000009,0.056516,0.000003,0.00455,0.000009,,73.14186096,medium,0.9,0.5,poorly sorted,7.5YR 7/4,pink,9,"no reading, very low",,,,,,,,,,,
209,,"Neve David, just north of Haifa.  At outlet of Siah River at junction of escarpment and coastal plain",Soil,Neve David,"Kebaran, 2m Nth and 1m above burial location",36S,684176,3631108,83,No horizons,"Alluvial sediment 50% fine-medim quartz, 40% clay and 10% > fine-medium",No Bedrock,N/A,c2,"Deir Hanna Fm., Isfiya Chalk, Bet Oren Limestone, Khureibe Chalk and Junediya Chalk","Limestone, dolostone, marl, chalk, chert",Cenomanian,SS059,IS059,0.708376,0.000075,0.056465,0.000003,-0.000322,0.000104,,4.398935661,"50% fine to medium quartz, 50% fine to medium clay and silt",quartz 0.5,quartz 0.7,poor to medium,2.5Y 4/3,olive brown,8.5,none measured,,,,,,,,,,,
210,,"Neve David, just north of Haifa.  At outlet of Siah River at junction of escarpment and coastal plain",Soil,Neve David,"Kebaran. Bronze Age, 10-20cm above SS059",36S,684176,3631108,83,No horizons,10% fine-medium quartz and 90% clay,No Bedrock,N/A,c2,"Deir Hanna Fm., Isfiya Chalk, Bet Oren Limestone, Khureibe Chalk and Junediya Chalk","Limestone, dolostone, marl, chalk, chert",Cenomanian,SS060,IS059,0.708598,0.000016,0.056482,0.000004,0.002393,0.000031,,5.3352952,"10% fine to medium quartz, 90% clay/silt",N/A,N/A,well sorted,2.5Y 4/3,olive brown,8.5,none measured,,,,,,,,,,,
211,,"Sefunim Cave, up a wadi to the north of Msylia",Soil,Sefunim,Taken just below boundary layer with coase material in layer 8,36S,685379,3623856,116,9,"60% very coarse-medium limestone fragments, 40% clay/silt",Limestone,No Notes,t,Bina Formation,"Limestone, marl, dolostone",Turonian,SS061,IS060,0.708852,0.00001,0.056427,0.000004,0.021131,0.000019,,1.765724458,"5% fine quartz, 60% clay/silt, 35% limestone fragments",frags 0.7,frags 0.5,moderate,7.5YR 5/4,brown,9,not measured,,,,,,,,,,,
212,,"Sefunim Cave, up a wadi to the north of Msylia",Soil,Sefunim,"Taken 10cm below SS061, approximately in layer 9",36S,685379,3623856,116,10,"60% cobble-medium limestone fragments, 40% clay",Limestone,No Notes,t,Bina Formation,"Limestone, marl, dolostone",Turonian,SS062,IS060,0.708954,0.00002,0.056591,0.000005,0.006964,0.000044,,1.626043022,"60% very coarse to medium limestone fragments, 40% clay/silt",0.5,0.3,moderate,7.5YR 5/4,brown,9,not measured,,,,,,,,,,,
213,,"Sefunim Cave, up a wadi to the north of Msylia",Soil,Sefunim,Taken 10cm below SS032 approximately in layer 10,36S,685379,3623856,116,?,"50% cobble-medium limestone fragments, 40% clay",Limestone,No Notes,t,Bina Formation,"Limestone, marl, dolostone",Turonian,SS063,IS060,0.709121,0.000013,0.056504,0.000006,0.014394,0.000013,,1.808613539,"60% cobble to medium limestone fragments, 40% clay",0.5,0.3,low,7.5YR 5/4,brown,9,not measured,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
